,Team,Sport,Event,Medal,Age,Height,Weight
11362,Kenya,Athletics,"Athletics Women's 3,000 metres Steeplechase",Silver,26.0,164.0,48.0
11363,Kenya,Athletics,Athletics Women's 800 metres,Silver,24.0,167.0,47.0
11364,United States,Baseball,Baseball Men's Baseball,Bronze,24.0,190.0,97.0
11365,Kenya,Athletics,Athletics Women's Marathon,Silver,28.0,165.0,49.0
11366,Yugoslavia,Handball,Handball Women's Handball,Silver,23.0,174.0,76.0
11367,France,Fencing,"Fencing Men's epee, Team",Gold,25.0,189.0,84.0
11368,Czechoslovakia,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Bronze,23.0,162.0,57.0
11369,Czechoslovakia,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Bronze,27.0,162.0,57.0
11370,Czechoslovakia,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver,27.0,162.0,57.0
11371,Yugoslavia,Basketball,Basketball Men's Basketball,Silver,22.0,208.0,94.0
11372,Yugoslavia,Basketball,Basketball Men's Basketball,Gold,26.0,208.0,94.0
11373,Sweden,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Silver,26.0,177.0,72.0
11374,Sweden,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Silver,26.0,177.0,72.0
11375,Sweden,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold,26.0,177.0,72.0
11376,Sweden,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,26.0,177.0,72.0
11377,Sweden,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Silver,31.0,177.0,72.0
11378,Sweden,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold,31.0,177.0,72.0
11379,Sweden,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Bronze,34.0,177.0,72.0
11380,Sweden,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold,34.0,177.0,72.0
11381,Sweden,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,34.0,177.0,72.0
11382,Sweden,Handball,Handball Men's Handball,Silver,36.0,200.0,113.0
11383,Canada,Athletics,Athletics Men's 100 metres,Bronze,24.0,180.0,77.0
11384,France,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze,34.0,160.0,53.0
11385,Sweden,Archery,Archery Men's Individual,Silver,26.0,174.0,70.0
11386,Poland,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,26.0,164.0,55.0
11387,Canada,Sailing,Sailing Mixed Two Person Keelboat,Bronze,30.0,187.0,113.0
11388,Denmark,Sailing,Sailing Women's Three Person Keelboat,Bronze,36.0,176.0,67.0
11389,Denmark,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Bronze,21.0,174.0,75.0
11390,Denmark,Rowing,Rowing Men's Coxless Fours,Bronze,24.0,192.0,86.0
11391,United States,Athletics,Athletics Women's 100 metres,Silver,32.0,163.0,59.0
11392,United States,Athletics,Athletics Women's 200 metres,Bronze,32.0,163.0,59.0
11393,United States,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,32.0,163.0,59.0
11394,United States,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,21.0,180.0,75.0
11395,Norway,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Silver,31.0,186.0,80.0
11396,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,31.0,186.0,80.0
